Date.day,Date.full,Date.Month,Date.Year,Statistics.Attendance,Statistics.Capacity,Statistics.Gross
29,"Mar 29, 2026",3,2026,"294,349",93,"38,657,410.00"
22,"Mar 22, 2026",3,2026,"272,806",96,"36,769,360.00"
15,"Mar 15, 2026",3,2026,"253,822",95,"32,759,044.00"
8,"Mar 8, 2026",3,2026,"238,988",91,"28,123,874.00"
1,"Mar 1, 2026",3,2026,"221,567",88,"26,036,589.00"
22,"Feb 22, 2026",2,2026,"242,027",95,"31,554,841.00"
15,"Feb 15, 2026",2,2026,"246,718",97,"33,578,362.00"
8,"Feb 8, 2026",2,2026,"256,752",93,"30,170,014.00"
1,"Feb 1, 2026",2,2026,"269,655",91,"31,766,855.00"
25,"Jan 25, 2026",1,2026,"250,680",90,"29,950,367.00"
18,"Jan 18, 2026",1,2026,"274,663",93,"34,695,615.00"
11,"Jan 11, 2026",1,2026,"272,911",92,"34,320,229.00"
4,"Jan 4, 2026",1,2026,"313,513",98,"52,037,125.00"
28,"Dec 28, 2025",12,2025,"304,997",95,"54,251,856.00"
21,"Dec 21, 2025",12,2025,"317,531",93,"47,437,512.00"
14,"Dec 14, 2025",12,2025,"301,326",91,"43,941,878.00"
7,"Dec 7, 2025",12,2025,"291,637",89,"42,629,351.00"
30,"Nov 30, 2025",11,2025,"297,902",91,"48,357,565.00"
23,"Nov 23, 2025",11,2025,"290,413",89,"40,640,549.00"
16,"Nov 16, 2025",11,2025,"297,542",90,"40,196,255.00"
9,"Nov 9, 2025",11,2025,"305,502",92,"40,693,448.00"
2,"Nov 2, 2025",11,2025,"277,506",85,"33,880,998.00"
26,"Oct 26, 2025",10,2025,"277,251",90,"36,970,592.00"
19,"Oct 19, 2025",10,2025,"277,744",91,"38,189,430.00"
12,"Oct 12, 2025",10,2025,"276,632",94,"39,416,736.00"
5,"Oct 5, 2025",10,2025,"234,508",90,"31,428,040.00"
28,"Sep 28, 2025",9,2025,"233,576",88,"30,782,409.00"
21,"Sep 21, 2025",9,2025,"249,286",94,"32,202,004.00"
14,"Sep 14, 2025",9,2025,"240,283",91,"30,128,088.00"
7,"Sep 7, 2025",9,2025,"215,095",81,"25,137,042.00"
31,"Aug 31, 2025",8,2025,"237,539",90,"30,631,166.00"
24,"Aug 24, 2025",8,2025,"239,811",90,"28,634,041.00"
17,"Aug 17, 2025",8,2025,"245,807",88,"29,790,665.00"
10,"Aug 10, 2025",8,2025,"251,610",91,"31,003,860.00"
3,"Aug 3, 2025",8,2025,"236,981",91,"30,062,727.00"
27,"Jul 27, 2025",7,2025,"246,701",93,"31,581,085.00"
20,"Jul 20, 2025",7,2025,"257,595",94,"33,847,950.00"
13,"Jul 13, 2025",7,2025,"260,530",91,"32,813,389.00"
6,"Jul 6, 2025",7,2025,"261,793",92,"30,529,370.00"
29,"Jun 29, 2025",6,2025,"298,509",91,"39,314,834.00"
22,"Jun 22, 2025",6,2025,"328,951",93,"43,169,396.00"
15,"Jun 15, 2025",6,2025,"313,343",89,"39,204,872.00"
8,"Jun 8, 2025",6,2025,"329,886",89,"45,788,192.00"
1,"Jun 1, 2025",6,2025,"333,529",89,"44,949,803.00"
25,"May 25, 2025",5,2025,"342,076",93,"47,275,423.00"
18,"May 18, 2025",5,2025,"336,494",89,"44,351,676.00"
